Country,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.824524062,6.40172356,5.465018124,5.252438953,4.810570702,4.43924462,4.594489236,5.245660916,4.942815305,3.988179159,-1.317166552,7.428592476,3.514201701
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.696359898,6.215457392,5.270916495,5.250825088,4.870033469,4.351152275,4.486849869,5.141621862,4.887705414,3.979987863,-1.249123569,7.166994741,3.573074231
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.262492076,4.100926469,3.018735392,5.23165458,5.574209026,3.315482614,3.207608394,3.888553158,4.215279336,3.879343618,-0.412221912,3.95916957,4.319087401
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.148728135,4.699865048,4.555550513,5.570401614,5.827549775,3.818856426,1.669268515,2.523719897,3.761697782,2.769534604,-1.388025874,5.071845884,4.539162781
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065511829,3.703055357,5.308595005
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.360049842,3.588329809,1.689351537,4.930370704,5.348906171,2.865784596,4.594645093,5.0847303,4.603122398,4.820672343,0.399249248,3.040191366,4.133739558
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.399998424,1.999999382,7.303879266,4.141868321,5.155032339,-0.385798408,6.952302529,2.837762345,2.213397869,0.25488493,-8.83623207,,
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.497584702,5.241315001,5.456388753,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.83105322,9.050277908,7.002951544
Not classified,INX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.682971538,0.833830149,-0.005542011,1.125689646,8.649350608,24.37044535,2.006654115,9.005342424,8.527541391,5.440937334,6.184538039,13.58824711,11.9695803
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.797938302,2.645717918,-3.747171399,-1.521979205,4.984775067,-1.424884939,8.815086643,2.758505246,-2.253863607,-2.658206662,3.330288459,4.719777732,2.749166141
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.402564845,7.5464712,13.93643017,7.628571185,0.19701671,4.722864019,13.78737302,-1.819750351,2.633850991,5.513790575,-12.03679309,1.583393363,7.008745223
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.832774915,1.845779156,1.063636607,4.55246032,1.687215018,4.436663719,6.303687107,4.194948829,4.889172995,1.805161042,-7.241872034,4.333402012,6.444566325
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.668515118,5.561139076,2.587653844,4.415501587,3.919126893,2.485826289,4.521680309,4.276595951,4.070321887,4.156137989,-1.857289278,8.611990348,6.464668446
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.713295839,0.707333347,-2.980905768,-1.841065451,-0.004547542,0.778304351,1.293462732,1.667859041,0.925810941,0.483198317,-8.979126097,6.986766416,3.674683255
